# Table 21: Historic Data (1995-1999): Book production: Number of titles by UDC classes
Country,Total,Total,Total,Total,Total,Generalities,Generalities,Generalities,Generalities,Generalities,"Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Philosophy, Psychology","Religion, Theology","Religion, Theology","Religion, Theology","Religion, Theology","Religion, Theology",Social Sciences,Social Sciences,Social Sciences,Social Sciences,Social Sciences,Philology,Philology,Philology,Philology,Philology,Pure Sciences,Pure Sciences,Pure Sciences,Pure Sciences,Pure Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Applied Sciences,Arts and Recreation,Arts and Recreation,Arts and Recreation,Arts and Recreation,Arts and Recreation,Literature,Literature,Literature,Literature,Literature,Geography / History,Geography / History,Geography / History,Geography / History,Geography / History
Côte d'Ivoire,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Croatia,2902,1718,3015,3265,2309,46,7,63,75,78,84,41,108,126,83,220,68,235,262,209,704,329,773,858,655,73,30,70,73,5,138,55,98,116,106,489,170,421,639,398,181,31,153,170,110,669,317,936,818,554,80,21,158,128,111
Cuba,698,679,785,796,952,104,28,44,59,75,23,36,16,32,11,5,3,13,10,6,113,120,170,209,253,32,24,35,15,15,31,24,30,24,43,78,57,96,61,73,33,29,35,38,34,247,312,279,306,380,32,46,67,42,62
Cyprus,1128,930,918,927,931,48,22,15,19,21,3,6,8,7,10,47,30,40,43,32,365,341,370,362,381,36,84,85,97,87,28,27,20,17,20,214,181,165,168,154,124,121,96,97,94,153,61,72,71,80,110,57,47,46,52
Czech Republic,8994,10244,11519,11738,12551,314,187,187,263,358,283,363,443,383,387,321,289,425,406,363,1447,1928,1972,2223,2440,243,369,367,359,396,732,972,1138,1081,1277,1178,1471,1413,1655,1771,524,662,788,719,781,3374,3261,3807,3581,3708,578,742,979,1068,1070
Democratic People's Republic of Korea,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Democratic Republic of the Congo,...,112,...,...,...,...,...,...,...,...,...,...,...,...,...,...,40,...,...,...,...,46,...,...,...,...,...,...,...,...,...,1,...,...,...,...,10,...,...,...,...,1,...,...,...,...,12,...,...,...,...,2,...,...,...
Denmark,12478,12352,13450,13175,14455,368,233,356,264,306,554,536,595,485,642,339,294,307,306,381,2509,2460,2642,2757,2914,328,347,356,366,338,913,863,916,959,1090,3006,3036,3216,2987,3228,797,923,923,756,864,2432,2561,2850,3055,3369,1232,1099,1289,1240,1323
Djibouti,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Dominica,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Dominican Republic,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Ecuador,598,592,735,904,996,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Egypt,2215,1917,2507,1410,...,92,85,246,96,...,66,53,79,18,...,307,205,481,200,...,180,186,285,126,...,226,315,260,215,...,206,180,224,219,...,331,282,203,150,...,140,63,128,44,...,515,442,460,256,...,152,106,141,86,...
El Salvador,...,103,...,663,...,...,-,...,...,...,...,-,...,...,...,...,-,...,5,...,...,27,...,125,...,...,-,...,1,...,...,6,...,4,...,...,-,...,458,...,...,42,...,5,...,...,25,...,59,...,...,3,...,6,...
Equatorial Guinea,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Eritrea,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Estonia,2635,2628,3317,3090,3265,191,181,229,226,122,86,92,108,99,86,74,93,109,90,99,634,571,820,774,718,-,-,-,...,-,195,193,273,285,274,307,341,416,362,519,176,176,236,177,186,851,885,990,925,1082,121,96,136,152,179
Ethiopia,...,...,...,...,444,...,...,...,...,40,...,...,...,...,...,...,...,...,...,63,...,...,...,...,203,...,...,...,...,8,...,...,...,...,6,...,...,...,...,77,...,...,...,...,8,...,...,...,...,18,...,...,...,...,21
